#Incident energy 	 
#Incident energy 	 
#Incident energy 	 σ(E)
#1E-05	0
2823000	0.024907
2829100	0.022213
2835300	0.020799
2841400	0.019987
2847600	0.019497
2853700	0.019196
2859900	0.019015
2866000	0.018916
2872200	0.018875
2878300	0.018879
2884500	0.018919
2890600	0.01899
2896800	0.019089
2902900	0.019213
2909100	0.019364
2915200	0.01954
2921400	0.019743
2927600	0.019977
2933700	0.020244
2939900	0.020551
2946000	0.020903
2952200	0.02131
2958300	0.021783
2964500	0.022338
2970600	0.022998
2976800	0.02379
2982900	0.024755
2989100	0.025944
2995200	0.027431
3001400	0.029306
3007500	0.031686
3013700	0.034696
3019800	0.038427
3026000	0.042844
3032100	0.047629
3038300	0.052084
3044400	0.055268
3046900	0.056018
3049300	0.056442
3050600	0.056534
3051800	0.056552
3053000	0.056496
3054300	0.056378
3055500	0.056196
3056700	0.055957
3058000	0.055672
3059200	0.055345
3060400	0.05498
3061600	0.054588
3062900	0.054176
3069000	0.05192
3075200	0.049715
3081300	0.047823
3093600	0.045221
3105900	0.044057
3118200	0.044005
3130500	0.044821
3142800	0.046372
3155100	0.048606
3167400	0.051518
3179700	0.055168
3192100	0.059639
3204400	0.065047
3216700	0.071523
3229000	0.079203
3241300	0.088171
3253600	0.09837
3265900	0.10943
3278200	0.12046
3290500	0.1298
3302800	0.13522
3315100	0.13463
3327400	0.12738
3339700	0.11506
3352000	0.10088
3364300	0.088665
3376600	0.083064
3379000	0.083392
3381500	0.08442
3384000	0.086278
3386400	0.089093
3388900	0.092958
3391300	0.097887
3393800	0.1037
3395000	0.10679
3396300	0.10988
3397500	0.11282
3398700	0.11547
3400000	0.11763
3401200	0.11914
3402400	0.11984
3403600	0.11962
3404900	0.11843
3406100	0.11631
3407300	0.11334
3408600	0.10966
3409800	0.10544
3411000	0.10086
3412300	0.096101
3413500	0.091286
3414700	0.086536
3416000	0.081936
3417200	0.077545
3418400	0.073392
3419600	0.069496
3420900	0.065866
3422100	0.062492
