#EN          EN-ERR      EN-RSL      DATA        -ERR-T      +ERR-T      -ERR-2      +ERR-2      MISC        MISC-ERR    ERR-1       
#MEV         MEV         MEV         MB          MB          MB          MB          MB          MB          MB          MB          
5.72        0.005       0.0105      212.6       13.1        13.1        3.          3.                                              
5.745       0.005       0.0105      181.9       11.3        11.3        2.8         2.8                                             
5.797       0.005       0.0105      235.3       15.8        15.8        3.          3.          20.         4.                      
5.82        0.005       0.0105      279.5       18.4        18.4        3.5         3.5         41.         4.                      
5.845       0.005       0.0105      329.4       21.         21.         3.          3.          41.         4.                      
5.87        0.005       0.0105      308.4       19.7        19.7        2.8         2.8         41.         4.                      
5.895       0.005       0.0105      258.1       17.6        17.6        4.3         4.3         41.         4.                      
5.92        0.005       0.0105      236.2       16.5        16.5        4.5         4.5         41.         4.                      
5.945       0.005       0.0105      268.9       18.         18.         4.          4.          41.         4.                      
5.97        0.005       0.0105      343.7       22.5        22.5        9.          9.                                              
5.995       0.005       0.0105      329.7       21.1        21.1        7.3         7.3                                             
6.02        0.005       0.0105      303.        19.6        19.6        7.2         7.2                                             
6.045       0.005       0.0105      252.        16.7        16.7        7.          7.                                              
6.07        0.005       0.0105      276.1       18.5        18.5        8.2         8.2                                             
6.095       0.005       0.0105      325.9       21.9        21.9        9.9         9.9                                             
6.119       0.005       0.0105      341.4       22.7        22.7        9.8         9.8                                             
6.145       0.005       0.0105      408.4       26.9        26.9        11.1        11.1                                            
6.17        0.005       0.0105      439.5       27.7        27.7        8.6         8.6                                             
6.195       0.005       0.0105      362.3       25.2        25.2        8.6         8.6         16.         4.                      
6.222       0.005       0.01        294.4       21.3        21.3        7.9         7.9         16.         4.                      
6.245       0.005       0.01        283.3       19.2        19.2        5.          5.          16.         4.                      
6.27        0.005       0.01        300.4       19.8        19.8        4.1         4.1         16.         4.                      
6.295       0.005       0.01        318.2       20.6        20.6        3.8         3.8         16.         4.                      
6.32        0.005       0.01        332.6       22.3        22.3        6.          6.          16.         4.                      
6.345       0.005       0.01        372.5       24.4        24.4        9.8         9.8                                             
6.37        0.005       0.01        307.6       18.7        18.7        3.          3.                                              
6.395       0.005       0.01        303.6       20.         20.         6.7         6.7                                             
6.42        0.005       0.01        384.4       26.8        26.8        13.7        13.7                                            
6.445       0.005       0.01        372.7       24.2        24.2        9.3         9.3                                             
6.47        0.005       0.01        336.2       21.4        21.4        7.2         7.2                                             
6.495       0.005       0.01        264.9       16.7        16.7        5.1         5.1                                             
6.52        0.005       0.01        269.1       16.9        16.9        4.9         4.9                                             
6.645       0.005       0.01        267.5       18.         18.         8.2         8.2                                             
6.67        0.005       0.01        338.2       22.2        22.2        8.9         8.9                                       
