#N          DATA        ERR-S       
#MEV         MB          MB          
2.5561      3.5479e-01  1.0946e-02  
2.5594      3.7048e-01  9.1513e-03  
2.5627      4.0487e-01  6.7460e-03  
2.5660      4.9880e-01  6.5193e-03  
2.5694      5.4779e-01  6.7425e-03  
2.5727      5.8431e-01  6.9604e-03  
2.5760      6.4544e-01  7.3129e-03  
2.5794      7.3856e-01  7.8221e-03  
2.5827      8.5102e-01  8.3963e-03  
2.5860      1.0393e+00  9.2784e-03  
2.5894      1.2934e+00  1.0351e-02  
2.5927      1.6570e+00  1.1717e-02  
2.5961      2.1426e+00  1.3328e-02  
2.5994      2.6100e+00  1.4714e-02  
2.6028      2.8979e+00  1.5506e-02  
2.6061      2.8340e+00  1.5333e-02  
2.6095      2.5166e+00  1.4446e-02  
2.6129      2.0389e+00  1.2998e-02  
2.6162      1.6266e+00  1.1610e-02  
2.6196      1.1925e+00  9.9391e-03  
2.6229      9.4211e-01  8.8336e-03  
2.6263      7.7912e-01  8.0335e-03  
2.6297      6.9309e-01  7.5772e-03  
2.6313      7.3802e-01  7.8198e-03  
2.6330      7.7162e-01  7.9966e-03  
2.6347      8.7640e-01  8.5232e-03  
2.6356      9.0220e-01  8.6508e-03  
2.6364      9.0017e-01  8.6390e-03  
2.6381      7.9103e-01  8.1013e-03  
2.6398      6.8620e-01  7.5464e-03  
2.6415      5.4427e-01  6.7223e-03  
2.6432      4.7736e-01  6.2972e-03  
2.6449      4.5718e-01  6.1635e-03  
2.6465      4.2156e-01  5.9197e-03  
2.6482      4.7139e-01  6.2600e-03  
2.6491      5.3635e-01  6.6841e-03  
2.6499      6.2351e-01  7.1993e-03  
2.6508      6.3279e-01  7.2537e-03  
2.6516      5.9437e-01  7.0315e-03  
2.6525      5.3275e-01  6.6587e-03  
2.6533      4.3530e-01  6.0221e-03  
2.6541      4.0892e-01  5.8417e-03  
2.6541      4.2151e-01  5.9294e-03  
2.6550      3.2260e-01  5.1870e-03  
2.6550      3.6949e-01  5.5546e-03  
2.6567      3.0411e-01  5.0382e-03  
2.6567      3.1394e-01  5.1221e-03  
2.6584      2.8267e-01  4.8621e-03  
2.6601      2.5910e-01  4.6577e-03  
2.6635      2.3559e-01  4.4424e-03  
2.6669      2.2777e-01  4.3696e-03  
2.6703      2.3995e-01  4.4862e-03  
2.6736      2.5245e-01  4.6030e-03  
2.6770      2.4077e-01  4.4991e-03  
2.6804      2.2465e-01  4.3495e-03  
2.6804      2.3032e-01  4.4049e-03  
2.6839      2.2346e-01  4.3436e-03  
2.6873      2.2732e-01  4.3885e-03  
2.6907      2.3631e-01  4.4835e-03  
2.6941      2.6871e-01  4.7932e-03  
2.6975      2.8783e-01  4.9929e-03  
2.7009      3.5676e-01  5.6222e-03  
2.7043      4.4628e-01  6.5317e-03  
2.7077      5.2729e-01  8.8259e-03  
2.7094      6.4481e-01  1.3156e-02  
2.7103      6.6265e-01  1.5317e-02  
2.7112      7.1929e-01  1.3634e-02  
2.7120      6.9863e-01  1.4157e-02  
2.7129      7.4789e-01  1.5320e-02  
2.7137      7.8432e-01  1.3304e-02  
2.7146      8.2750e-01  1.1223e-02  
2.7154      8.6671e-01  1.0215e-02  
2.7163      9.2107e-01  9.7452e-03  
2.7180      1.1390e+00  1.0141e-02  
2.7197      1.4467e+00  1.1187e-02  
2.7214      2.0787e+00  1.3295e-02  
2.7231      3.0189e+00  1.5974e-02  
2.7248      4.6906e+00  1.9897e-02  
2.7266      6.8711e+00  2.4101e-02  
2.7283      9.1006e+00  2.7725e-02  
2.7291      1.0939e+01  3.0479e-02  
2.7300      1.1679e+01  3.1532e-02  
2.7309      1.1499e+01  3.1266e-02  
2.7317      9.9988e+00  2.9102e-02  
2.7334      7.8795e+00  2.5813e-02  
2.7352      6.3042e+00  2.3079e-02  
2.7386      4.3111e+00  1.9069e-02  
2.7420      2.7062e+00  1.5116e-02  
2.7455      1.5735e+00  1.1522e-02  
2.7489      1.0325e+00  9.3338e-03  
2.7524      8.0395e-01  8.2374e-03  
2.7558      6.4745e-01  7.3938e-03  
2.7558      7.0220e-01  7.7010e-03  
2.7593      5.8860e-01  7.0523e-03  
2.7627      5.1709e-01  6.6110e-03  
2.7662      4.6339e-01  6.2596e-03  
2.7696      4.9100e-01  6.4432e-03  
2.7731      6.2612e-01  7.2751e-03  
2.7748      7.0562e-01  7.7246e-03  
2.7765      7.8405e-01  8.1425e-03  
2.7783      8.6227e-01  8.5405e-03  
2.7800      1.0367e+00  9.3655e-03  
2.7817      1.1276e+00  9.7695e-03  
2.7826      1.0031e+00  9.2195e-03  
2.7835      8.1867e-01  8.3256e-03  
2.7835      8.3906e-01  8.4303e-03  
2.7843      6.8649e-01  7.6292e-03  
2.7852      6.3833e-01  7.3584e-03  
2.7869      5.9416e-01  7.1009e-03  
2.7904      6.0222e-01  7.1501e-03  
2.7939      6.1331e-01  7.2176e-03  
2.7974      6.3054e-01  7.3178e-03  
2.8008      6.6634e-01  7.5239e-03  
2.8043      7.0097e-01  7.7179e-03  
2.8078      6.9938e-01  7.7104e-03  
2.8095      7.2535e-01  7.8535e-03  
2.8104      8.5697e-01  8.5389e-03  
2.8113      9.5076e-01  8.9917e-03  
2.8121      9.0777e-01  8.7895e-03  
2.8130      8.5690e-01  8.5414e-03  
2.8139      7.8905e-01  8.1981e-03  
2.8148      7.8110e-01  8.1586e-03  
2.8182      8.0459e-01  8.2827e-03  
2.8200      7.5434e-01  1.0841e-02  
2.8200      8.0466e-01  1.1193e-02  
2.8200      8.0878e-01  1.1219e-02  
