#data in  MICRO-B  
851.        2.168e-03   4.580e-04   
863.        4.053e-03   5.494e-04   
869.        4.799e-03   6.986e-04   
871.        6.489e-03   8.298e-04   
876.        6.632e-03   7.264e-04   
880.        5.686e-03   6.002e-04   
884.        4.556e-03   4.906e-04   
889.        5.058e-03   6.189e-04   
892.        3.696e-03   5.418e-04   
894.        3.943e-03   5.904e-04   
898.        5.044e-03   5.884e-04   
903.        6.328e-03   6.411e-04   
910.        6.648e-03   7.202e-04   
914.        7.031e-03   6.993e-04   
919.        7.942e-03   7.911e-04   
929.        7.222e-03   9.614e-04   
934.        8.956e-03   1.444e-03   
938.        3.814e-02   3.683e-03   
942.        2.753e-01   2.315e-02   
945.        4.274e-01   3.528e-02   
946.        4.911e-01   4.045e-02   
948.        4.597e-01   3.785e-02   
950.        3.885e-01   3.231e-02   
952.        2.673e-01   2.273e-02   
953.        1.599e-01   1.414e-02   
955.        8.874e-02   7.352e-03   
957.        4.299e-02   3.701e-03   
961.        2.252e-02   2.129e-03   
966.        1.933e-02   1.856e-03   
970.        2.062e-02   1.902e-03   
973.        1.883e-02   1.808e-03   
974.        1.926e-02   1.811e-03   
975.        1.933e-02   1.826e-03   
980.        1.850e-02   1.830e-03   
985.        2.177e-02   2.268e-03   
990.        2.401e-02   2.186e-03   
995.        3.634e-02   3.244e-03   
1000.       6.165e-02   5.307e-03   
1005.       6.412e-02   5.624e-03   
1010.       5.358e-02   4.792e-03   
1015.       4.194e-02   3.853e-03   
1019.       4.155e-02   3.758e-03   
1025.       4.828e-02   4.493e-03   
1030.       5.025e-02   4.608e-03   
1036.       5.828e-02   5.118e-03   
1041.       7.564e-02   6.581e-03   
1045.       1.148e-01   9.777e-03   
1047.       1.472e-01   1.237e-02   
1049.       1.987e-01   1.655e-02   
1051.       2.991e-01   2.474e-02   
1053.       3.616e-01   2.987e-02   
1056.       4.084e-01   3.366e-02   
1057.       3.946e-01   3.261e-02   
1059.       3.598e-01   2.991e-02   
1061.       3.003e-01   2.509e-02   
1062.       2.296e-01   1.942e-02   
1064.       1.645e-01   1.399e-02   
1066.       1.015e-01   8.822e-03   
1066.       9.783e-02   8.486e-03   
1068.       5.810e-02   5.528e-03   
1070.       4.736e-02   4.726e-03   
1071.       3.527e-02   4.023e-03   
1072.       4.028e-02   4.026e-03   
1077.       3.697e-02   3.586e-03   
1081.       4.435e-02   4.112e-03   
1086.       5.404e-02   4.846e-03   
1090.       6.368e-02   5.583e-03   
1095.       7.735e-02   6.848e-03   
1102.       9.457e-02   8.168e-03   
1107.       1.181e-01   9.812e-03   
1112.       1.464e-01   1.267e-02   
1117.       1.875e-01   1.566e-02   
1117.       1.828e-01   1.551e-02   
1122.       2.582e-01   2.201e-02   
1126.       3.435e-01   2.946e-02   
1132.       5.229e-01   4.389e-02   
1138.       1.599e+00   1.369e-01   
1142.       1.171e+01   9.793e-01   
1144.       2.916e+01   2.421e+00   
1146.       5.137e+01   4.215e+00   
1148.       6.694e+01   5.512e+00   
1150.       8.212e+01   6.721e+00   
1152.       8.468e+01   6.971e+00   
1154.       7.226e+01   5.944e+00   
1156.       5.859e+01   4.832e+00   
1158.       3.584e+01   2.934e+00   
1160.       2.246e+01   1.847e+00   
1161.       1.228e+01   1.020e+00   
1163.       7.566e+00   6.335e-01   
1165.       3.132e+00   2.584e-01   
1167.       2.148e+00   1.824e-01   
1169.       1.487e+00   1.278e-01   
1171.       1.224e+00   1.002e-01   
1176.       5.311e-01   4.433e-02   
1182.       2.478e-01   2.160e-02   
1186.       1.719e-01   1.523e-02   
1191.       1.322e-01   1.227e-02   
1195.       1.413e-01   1.258e-02   
1200.       1.367e-01   1.261e-02   
1200.       1.260e-01   1.206e-02   
1205.       1.273e-01   1.203e-02   
1205.       1.348e-01   1.260e-02   
1211.       1.295e-01   1.232e-02   
1215.       1.370e-01   1.229e-02   
1220.       1.485e-01   1.295e-02   
1225.       1.707e-01   1.509e-02   
1230.       1.619e-01   1.375e-02   
1234.       1.837e-01   1.628e-02   
1242.       2.279e-01   2.101e-02   
1246.       2.733e-01   2.666e-02   
1251.       3.172e-01   3.111e-02   
1257.       1.200e+00   1.085e-01   
1262.       9.338e+00   7.922e-01   
1266.       2.120e+01   1.735e+00   
1268.       2.871e+01   2.390e+00   
1270.       2.961e+01   2.478e+00   
1271.       2.841e+01   2.377e+00   
1276.       1.531e+01   1.277e+00   
1281.       4.743e+00   3.965e-01   
1286.       2.293e+00   1.961e-01   
1291.       1.750e+00   1.519e-01   
1296.       1.890e+00   1.622e-01   
1301.       2.819e+00   2.474e-01   
1306.       1.613e+01   1.359e+00   
1311.       1.045e+02   8.677e+00   
1312.       1.295e+02   1.076e+01   
1315.       1.868e+02   1.550e+01   
1317.       1.960e+02   1.607e+01   
1319.       1.924e+02   1.598e+01   
1322.       1.463e+02   1.206e+01   
1327.       4.945e+01   4.074e+00   
1331.       1.502e+01   1.249e+00   
1337.       6.265e+00   5.192e-01   
1341.       4.067e+00   3.421e-01   
1346.       2.668e+00   2.288e-01   
1351.       2.322e+00   1.959e-01   
1356.       2.256e+00   1.948e-01   
1361.       2.445e+00   2.102e-01   
1366.       2.500e+00   2.136e-01   
1371.       2.561e+00   2.217e-01   
1376.       2.902e+00   2.489e-01   
1381.       3.347e+00   2.860e-01   
1386.       3.476e+00   2.993e-01   
1391.       4.028e+00   3.441e-01   
1396.       4.663e+00   3.998e-01   
1401.       5.255e+00   4.468e-01   
1407.       5.943e+00   5.044e-01   
1412.       7.414e+00   6.295e-01   
