4.70        379.        38.         
5.73        457.        46.         
6.17        463.        46.         
6.45        491.        47.         
7.10        569.        57.         
9.74        641.        64.         
10.4        715.        78.         
10.7        734.        75.         
11.7        787.        80.         
12.5        778.        79.  
