#	R1/R2	R1/R3	R2/R3
0.0001	24.8987517337032	72.0963855421687	2.89558232931727
0.0002	23.8825857519789	74.3449691991786	3.1129363449692
0.0004	21.4973388527499	61.6135593220339	2.86610169491525
0.0006	21.053395240859	64.0901060070671	3.04416961130742
0.0008	20.9119861030689	59.0114379084967	2.8218954248366
0.001	19.904788112273	54.0612855007474	2.71599402092676
0.002	17.3601735776278	51.7313218390805	2.97988505747126
0.004	16.7248479176416	49.2300275482094	2.9435261707989
0.006	16.4931444241316	44.5518518518519	2.70123456790123
0.008	15.5437608318891	43.3796856106409	2.79081015719468
0.01	14.8523294509151	42.6583034647551	2.87216248506571
0.02	13.7071566731141	39.9470124013529	2.91431792559188
0.04	12.5402298850575	32.5368126747437	2.59459459459459
0.06	11.0816784112748	29	2.61693210393965
0.08	10.3224834237492	26.8206734534064	2.59827721221613
0.1	10.0980450236967	24.5612391930836	2.43227665706052
0.2	7.63644794806399	17.9194776931447	2.34657236126224
0.4	5.60638490839833	11.4474074074074	2.04185185185185
0.6	4.54201350714622	7.765574650913	1.70972073039742
0.8	3.82194092827004	5.59135802469136	1.46296296296296
1	3.34154203197525	4.65630614444844	1.39346029464607
2	2.2387764084507	2.2896691424713	1.02273238802611
4	1.70546679708727	1.42914389799636	0.837978142076503
6	1.41347200386988	1.03241763095133	0.730412507728999
8	1.35403726708075	0.939919392632862	0.694160652357297
10	1.22565663036515	0.794209215442092	0.647986716479867

